Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
domain_dependent,blocks,random,lstm,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,31.33,4.32,0.00%,0.00%,100.00%,0.00%,124.23,1.08
domain_dependent,gripper,random,lstm,state,128,domain_specific,3,100.00%,0.00%,100.00%,0.00%,31.00,2.83,100.00%,0.00%,100.00%,0.00%,17.67,0.94,20.83%,2.95%,100.00%,0.00%,260.98,32.47
domain_dependent,logistics,random,lstm,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,29.63%,10.48%,100.00%,0.00%,108.41,1.50,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,random,lstm,state,128,domain_specific,3,51.39%,3.93%,100.00%,0.00%,107.58,4.73,78.38%,7.64%,100.00%,0.00%,24.47,0.98,4.87%,0.57%,100.00%,0.00%,400.50,31.43
domain_dependent,blocks,random,lstm,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,71.78,10.07,0.00%,0.00%,100.00%,0.00%,26.67,1.09,0.00%,0.00%,100.00%,0.00%,90.23,3.72
domain_dependent,gripper,random,lstm,delta,128,domain_specific,3,66.67%,47.14%,100.00%,0.00%,44.33,17.75,55.56%,15.71%,100.00%,0.00%,25.89,0.31,52.08%,15.59%,100.00%,0.00%,79.71,17.66
domain_dependent,logistics,random,lstm,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,3.70%,5.24%,100.00%,0.00%,134.07,3.06,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,random,lstm,delta,128,domain_specific,3,41.67%,3.40%,100.00%,0.00%,106.00,0.36,69.37%,2.55%,100.00%,0.00%,25.06,0.73,49.16%,32.12%,100.00%,0.00%,269.20,67.99
domain_dependent,blocks,random,xgboost,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,27.33,0.00,0.00%,0.00%,100.00%,0.00%,20.67,0.00,0.00%,0.00%,100.00%,0.00%,125.00,0.00
domain_dependent,gripper,random,xgboost,state,128,domain_specific,3,100.00%,0.00%,100.00%,0.00%,37.00,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,100.00%,0.00%,100.00%,0.00%,107.00,0.00
domain_dependent,logistics,random,xgboost,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,125.67,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,random,xgboost,state,128,domain_specific,3,33.33%,0.00%,100.00%,0.00%,114.33,0.00,70.27%,0.00%,100.00%,0.00%,23.46,0.00,0.91%,0.00%,100.00%,0.00%,389.70,0.00
domain_dependent,blocks,random,xgboost,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,99.33,0.00,0.00%,0.00%,100.00%,0.00%,21.33,0.00,0.00%,0.00%,100.00%,0.00%,125.00,0.00
domain_dependent,gripper,random,xgboost,delta,128,domain_specific,3,50.00%,0.00%,100.00%,0.00%,87.50,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,0.00%,0.00%,100.00%,0.00%,310.00,0.00
domain_dependent,logistics,random,xgboost,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,0.00%,0.00%,100.00%,0.00%,135.56,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,random,xgboost,delta,128,domain_specific,3,100.00%,0.00%,100.00%,0.00%,23.12,0.00,100.00%,0.00%,100.00%,0.00%,10.00,0.00,100.00%,0.00%,100.00%,0.00%,69.69,0.00
