family,tokenizer,model,mode,domain,split,regime_a,regime_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
regime::simhash::xgboost::state,simhash,xgboost,state,logistics,test-interpolation,domain_dependent,all_domains,9,0.3333333333333333,0.0,-0.3333333333333333,-0.6666666666666666,0.0,3,0,0.255787210639468,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,visitall-from-everywhere,validation,domain_dependent,all_domains,24,0.625,0.6666666666666666,0.041666666666666664,-0.20833333333333334,0.2916666666666667,4,5,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,0.8918918918918919,0.8108108108108109,-0.08108108108108109,-0.24324324324324326,0.08108108108108109,6,3,0.512674366281686,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::state,simhash,xgboost,state,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.3013698630136986,0.2785388127853881,-0.0228310502283105,-0.0821917808219178,0.0365296803652968,26,21,0.5594720263986801,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::state
regime::simhash::xgboost::delta,simhash,xgboost,delta,blocks,validation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,blocks,test-interpolation,domain_dependent,all_domains,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,blocks,test-extrapolation,domain_dependent,all_domains,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,gripper,validation,domain_dependent,all_domains,2,0.0,0.5,0.5,0.0,1.0,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,gripper,test-interpolation,domain_dependent,all_domains,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,gripper,test-extrapolation,domain_dependent,all_domains,16,0.8125,0.375,-0.4375,-0.75,-0.125,8,1,0.03819809009549523,Paired sign-flip on per-problem seed-mean solved outcomes,0.4201789910504475,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
regime::simhash::xgboost::delta,simhash,xgboost,delta,logistics,test-interpolation,domain_dependent,all_domains,9,0.1111111111111111,0.0,-0.1111111111111111,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::simhash::xgboost::delta
