family,regime,model,mode,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::all_domains::lstm::delta,all_domains,lstm,delta,graphbpe,random,358,0.23277467411545621,0.23370577281191804,0.0009310986964618067,-0.03724394785847301,0.03910614525139664,51,89,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::all_domains::lstm::delta
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,wl,simhash,358,0.3435754189944134,0.31564245810055863,-0.027932960893854747,-0.07541899441340782,0.0223463687150838,47,37,0.32903354832258386,Paired sign-flip on per-problem seed-mean solved outcomes,0.32903354832258386,False,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,wl,shortest_path,358,0.3435754189944134,0.8072625698324022,0.46368715083798884,0.40502793296089384,0.5223463687150838,13,179,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,wl,graphbpe,358,0.3435754189944134,0.24394785847299813,-0.09962756052141529,-0.148975791433892,-0.05027932960893855,61,25,0.00039998000099995,Paired sign-flip on per-problem seed-mean solved outcomes,0.00119994000299985,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,wl,random,358,0.3435754189944134,0.7039106145251397,0.36033519553072624,0.2988826815642458,0.4245810055865922,26,155,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,simhash,shortest_path,358,0.31564245810055863,0.8072625698324022,0.49162011173184356,0.43854748603351956,0.5446927374301676,1,177,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,simhash,graphbpe,358,0.31564245810055863,0.24394785847299813,-0.07169459962756053,-0.12290502793296089,-0.02048417132216015,58,33,0.008499575021248937,Paired sign-flip on per-problem seed-mean solved outcomes,0.016999150042497874,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,simhash,random,358,0.31564245810055863,0.7039106145251397,0.388268156424581,0.329608938547486,0.4441340782122905,11,150,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,shortest_path,graphbpe,358,0.8072625698324022,0.24394785847299813,-0.5633147113594041,-0.6201117318435754,-0.5064944134078215,212,11,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,shortest_path,random,358,0.8072625698324022,0.7039106145251397,-0.10335195530726257,-0.1452513966480447,-0.06424581005586592,49,12,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::state,all_domains,xgboost,state,graphbpe,random,358,0.24394785847299813,0.7039106145251397,0.4599627560521415,0.4022346368715084,0.5186219739292366,12,176,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::state
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,wl,simhash,358,0.8379888268156425,0.164804469273743,-0.6731843575418994,-0.7262569832402235,-0.6201117318435754,248,7,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,wl,shortest_path,358,0.8379888268156425,0.7932960893854749,-0.0446927374301676,-0.06983240223463687,-0.019553072625698324,19,3,0.0007499625018749063,Paired sign-flip on per-problem seed-mean solved outcomes,0.0007499625018749063,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,wl,graphbpe,358,0.8379888268156425,0.24581005586592178,-0.5921787709497207,-0.6508379888268156,-0.5307262569832403,233,21,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,wl,random,358,0.8379888268156425,0.6061452513966481,-0.23184357541899442,-0.276536312849162,-0.1871508379888268,83,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,simhash,shortest_path,358,0.164804469273743,0.7932960893854749,0.6284916201117319,0.5726256983240223,0.6815642458100558,6,231,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,simhash,graphbpe,358,0.164804469273743,0.24581005586592178,0.08100558659217877,0.04189944134078212,0.12011173184357542,12,41,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,simhash,random,358,0.164804469273743,0.6061452513966481,0.441340782122905,0.3854748603351955,0.4972067039106145,8,166,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,shortest_path,graphbpe,358,0.7932960893854749,0.24581005586592178,-0.547486033519553,-0.611731843575419,-0.48324022346368717,218,22,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,shortest_path,random,358,0.7932960893854749,0.6061452513966481,-0.1871508379888268,-0.22905027932960895,-0.14804469273743018,67,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
pairwise::all_domains::xgboost::delta,all_domains,xgboost,delta,graphbpe,random,358,0.24581005586592178,0.6061452513966481,0.36033519553072624,0.2905027932960894,0.4301675977653631,37,166,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::xgboost::delta
