regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,simhash,xgboost,state,visitall-from-everywhere,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\visitall-from-everywhere_simhash_test-interpolation_state_results.json,37,0.8918918918918919,1.0,13.108108108108109
domain_dependent,13,simhash,xgboost,state,visitall-from-everywhere,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_state\visitall-from-everywhere_simhash_test-extrapolation_state_results.json,219,0.3013698630136986,1.0,410.1689497716895
domain_dependent,13,simhash,xgboost,delta,blocks,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\blocks_simhash_validation_delta_results.json,3,0.0,1.0,100.0
domain_dependent,13,simhash,xgboost,delta,blocks,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\blocks_simhash_test-interpolation_delta_results.json,3,0.0,1.0,28.0
domain_dependent,13,simhash,xgboost,delta,blocks,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\blocks_simhash_test-extrapolation_delta_results.json,20,0.0,1.0,118.6
domain_dependent,13,simhash,xgboost,delta,gripper,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\gripper_simhash_validation_delta_results.json,2,0.0,1.0,135.0
domain_dependent,13,simhash,xgboost,delta,gripper,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\gripper_simhash_test-interpolation_delta_results.json,3,0.0,1.0,90.0
domain_dependent,13,simhash,xgboost,delta,gripper,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\gripper_simhash_test-extrapolation_delta_results.json,16,0.8125,1.0,144.6875
domain_dependent,13,simhash,xgboost,delta,logistics,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\logistics_simhash_validation_delta_results.json,4,0.0,1.0,150.0
domain_dependent,13,simhash,xgboost,delta,logistics,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\logistics_simhash_test-interpolation_delta_results.json,9,0.1111111111111111,1.0,123.0
domain_dependent,13,simhash,xgboost,delta,logistics,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\logistics_simhash_test-extrapolation_delta_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,simhash,xgboost,delta,visitall-from-everywhere,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\visitall-from-everywhere_simhash_validation_delta_results.json,24,0.4166666666666667,1.0,110.41666666666667
domain_dependent,13,simhash,xgboost,delta,visitall-from-everywhere,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\visitall-from-everywhere_simhash_test-interpolation_delta_results.json,37,0.8108108108108109,1.0,24.54054054054054
domain_dependent,13,simhash,xgboost,delta,visitall-from-everywhere,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\xgboost_delta\visitall-from-everywhere_simhash_test-extrapolation_delta_results.json,219,0.1187214611872146,1.0,458.6392694063927
domain_dependent,13,shortest_path,lstm,state,blocks,validation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\blocks_shortest_path_validation_state_results.json,3,0.0,1.0,100.0
domain_dependent,13,shortest_path,lstm,state,blocks,test-interpolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\blocks_shortest_path_test-interpolation_state_results.json,3,0.0,1.0,12.0
domain_dependent,13,shortest_path,lstm,state,blocks,test-extrapolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\blocks_shortest_path_test-extrapolation_state_results.json,20,0.0,1.0,125.0
domain_dependent,13,shortest_path,lstm,state,gripper,validation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\gripper_shortest_path_validation_state_results.json,2,0.0,1.0,135.0
domain_dependent,13,shortest_path,lstm,state,gripper,test-interpolation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\gripper_shortest_path_test-interpolation_state_results.json,3,0.6666666666666666,1.0,47.333333333333336
domain_dependent,13,shortest_path,lstm,state,gripper,test-extrapolation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\gripper_shortest_path_test-extrapolation_state_results.json,16,0.0,1.0,310.0
domain_dependent,13,shortest_path,lstm,state,logistics,validation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\logistics_shortest_path_validation_state_results.json,4,0.0,1.0,150.0
domain_dependent,13,shortest_path,lstm,state,logistics,test-interpolation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\logistics_shortest_path_test-interpolation_state_results.json,9,0.2222222222222222,1.0,112.33333333333333
domain_dependent,13,shortest_path,lstm,state,logistics,test-extrapolation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\logistics_shortest_path_test-extrapolation_state_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,shortest_path,lstm,state,visitall-from-everywhere,validation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\visitall-from-everywhere_shortest_path_validation_state_results.json,24,1.0,1.0,19.291666666666668
domain_dependent,13,shortest_path,lstm,state,visitall-from-everywhere,test-interpolation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\visitall-from-everywhere_shortest_path_test-interpolation_state_results.json,37,1.0,1.0,9.135135135135135
domain_dependent,13,shortest_path,lstm,state,visitall-from-everywhere,test-extrapolation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_state\visitall-from-everywhere_shortest_path_test-extrapolation_state_results.json,219,1.0,1.0,61.68036529680365
domain_dependent,13,shortest_path,lstm,delta,blocks,validation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\blocks_shortest_path_validation_delta_results.json,3,0.0,1.0,15.333333333333334
domain_dependent,13,shortest_path,lstm,delta,blocks,test-interpolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\blocks_shortest_path_test-interpolation_delta_results.json,3,0.0,1.0,12.666666666666666
domain_dependent,13,shortest_path,lstm,delta,blocks,test-extrapolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\blocks_shortest_path_test-extrapolation_delta_results.json,20,0.0,1.0,42.7
domain_dependent,13,shortest_path,lstm,delta,gripper,validation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\gripper_shortest_path_validation_delta_results.json,2,1.0,1.0,28.0
domain_dependent,13,shortest_path,lstm,delta,gripper,test-interpolation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\gripper_shortest_path_test-interpolation_delta_results.json,3,1.0,1.0,16.333333333333332
